No,ID Transaksi,Tgl Operasional,Waktu Masuk,Waktu Selesai,Ruangan,Durasi (Menit),Tarif Room/Jam,Biaya Room (Rp),Biaya F&B Riil (Rp),Biaya LC (Rp),Diskon Promo (Rp),Grand Total (Rp),Metode Bayar,Status Bayar,Kasir,ID Order F&B,Catatan Audit
24,TRX-20260810220845473-B5769C6A,2026-08-10,,2026-08-10 22:08:36,F&B Umum - LC,0,0,0,85000,0,0,85000,TRANSFER,PAID,Manager 1,FNB-20260810-220841-64,
25,TRX-20260810220828445-2C4C5AB4,2026-08-10,2026-08-10 19:22:57,2026-08-10 22:08:21,Ruangan 9 - EXECUTIVE ,180,185000,450000,725000,1125000,0,2300000,TRANSFER,PAID,Admin 1,"FNB-20260810-193111-310,FNB-20260810-195202-305,FNB-20260810-202843-596,FNB-20260810-210835-411",
26,TRX-20260810204136340-81122692,2026-08-10,2026-08-10 20:00:31,2026-08-10 20:41:33,Ruangan 6 - VIP 6,120,135000,0,195000,0,270000,195000,TRANSFER,PAID,Admin 1,FNB-20260810-200135-669,
27,TRX-20260809053314065-28CD98B5,2026-08-08,2026-08-09 04:21:40,2026-08-09 05:33:10,Ruangan 7 - VIP 7,120,125000,250000,412000,0,0,662000,TRANSFER,PAID,Admin 1,"FNB-20260809-044010-42,FNB-20260809-044621-998,FNB-20260809-044720-863",
28,TRX-20260809043451860-8EDDD7DB,2026-08-08,2026-08-09 01:41:45,2026-08-09 04:34:45,Ruangan 3 - VIP 3,180,125000,375000,788000,375000,0,1538000,TRANSFER,PAID,Admin 1,"FNB-20260809-014545-626,FNB-20260809-025420-704,FNB-20260809-033614-28",
29,TRX-20260809040428896-E26D8A55,2026-08-08,2026-08-09 00:06:14,2026-08-09 04:04:25,Ruangan 7 - VIP 7,300,125000,0,1018000,1875000,625000,2893000,TRANSFER,PAID,Admin 1,"FNB-20260809-001145-510,FNB-20260809-022022-109,FNB-20260809-023909-818,FNB-20260809-025724-155,FNB-20260809-034402-994",
30,TRX-20260809032334405-D6D4DAD8,2026-08-08,2026-08-09 02:31:10,2026-08-09 03:23:28,Ruangan 2 - VIP 2,180,135000,405000,85000,375000,0,865000,TRANSFER,PAID,Admin 1,FNB-20260809-024212-267,
31,TRX-20260809031806268-B2DB227B,2026-08-08,2026-08-09 01:29:43,2026-08-09 03:18:01,Ruangan 9 - EXECUTIVE ,120,185000,750000,65000,500000,250000,1315000,TRANSFER,PAID,Admin 1,FNB-20260809-014659-721,
32,TRX-20260809030718947-D135888D,2026-08-08,2026-08-09 01:22:19,2026-08-09 03:07:14,Ruangan 1 - VIP 1,120,125000,250000,0,250000,0,500000,CASH,PAID,Admin 1,,
33,TRX-20260809005539212-0D23F5E8,2026-08-08,2026-08-08 23:04:45,2026-08-09 00:55:32,Ruangan 9 - EXECUTIVE ,120,185000,750000,60000,500000,250000,1310000,TRANSFER,PAID,Admin 1,FNB-20260808-233246-323,
